,scores,labels
0,0.20943403,0
1,0.19980596,0
2,0.20623803,0
3,0.20341846,0
4,0.20948045,0
5,0.2137014,0
6,0.20338652,0
7,0.20068693,0
8,0.21580444,0
9,0.1934319,0
10,0.20911911,0
11,0.21388325,0
12,0.20431674,0
13,0.20544808,0
14,0.20650858,0
15,0.1949813,0
16,0.20592496,0
17,0.21676779,0
18,0.20231907,0
19,0.20463237,0
20,0.19992626,0
21,0.20163016,0
22,0.2100542,0
23,0.20843445,0
24,0.21426427,0
25,0.20806828,0
26,0.20942163,0
27,0.21341762,0
28,0.18633215,0
29,0.20870636,0
30,0.21754524,0
31,0.20825349,0
32,0.21439525,0
33,0.20807773,0
34,0.21084914,0
35,0.21594572,0
36,0.21420386,0
37,0.21102786,0
38,0.21061133,0
39,0.20370525,0
40,0.20242922,0
41,0.21178393,0
42,0.21001236,0
43,0.21943662,0
44,0.21031146,0
45,0.20401101,0
46,0.21154033,0
47,0.20126769,0
48,0.2047607,0
49,0.19663087,0
50,0.2127114,0
51,0.21175122,0
52,0.21173118,0
53,0.1979093,0
54,0.18420295,0
55,0.21698098,0
56,0.20827651,0
57,0.21709315,0
58,0.20922354,0
59,0.21143374,0
60,0.2156679,0
61,0.20466778,0
62,0.21568713,0
63,0.19149733,0
64,0.20978163,0
65,0.21130626,0
66,0.20835958,0
67,0.21256766,0
68,0.20098099,0
69,0.21172675,0
70,0.21097898,0
71,0.21139549,0
72,0.20534384,0
73,0.20861542,0
74,0.21618232,0
75,0.20971203,0
76,0.21508586,0
77,0.22486421,0
78,0.20838344,0
79,0.208516,0
80,0.20650184,0
81,0.20501453,0
82,0.21123247,0
83,0.20338564,0
84,0.2122811,0
85,0.21613228,0
86,0.20833528,0
87,0.22341174,0
88,0.2117095,0
89,0.221134,0
90,0.20163739,0
91,0.21533918,0
92,0.19841366,0
93,0.19529848,0
94,0.21200532,0
95,0.20938097,0
96,0.20302007,0
97,0.21184516,0
98,0.20582168,0
99,0.2150198,0
100,0.21282528,0
101,0.20693359,0
102,0.2100858,0
103,0.21363395,0
104,0.20775573,0
105,0.21445197,0
106,0.21129075,0
107,0.20282254,0
108,0.22063309,0
109,0.21055517,0
110,0.2238652,0
111,0.21105134,0
112,0.22067177,0
113,0.20153317,0
114,0.20886657,0
115,0.21735166,0
116,0.20934497,0
117,0.20471548,0
118,0.21282093,0
119,0.21031117,0
120,0.20409441,0
121,0.20768106,0
122,0.2146185,0
123,0.21107358,0
124,0.20401119,0
125,0.21165046,0
126,0.21644568,0
127,0.20158085,0
128,0.21908012,0
129,0.21017075,0
130,0.18258904,0
131,0.20556217,0
132,0.21698049,0
133,0.20621638,0
134,0.21124648,0
135,0.2178946,0
136,0.19813845,0
137,0.20613848,0
138,0.20782511,0
139,0.20397353,0
140,0.20696345,0
141,0.20446853,0
142,0.20991945,0
143,0.21079984,0
144,0.20282786,0
145,0.19349599,0
146,0.21098375,0
147,0.21827918,0
148,0.21470094,0
149,0.20091745,0
150,0.21560894,0
151,0.20326327,0
152,0.20396495,0
153,0.21664183,0
154,0.21737576,0
155,0.2134314,0
156,0.2005986,0
157,0.20015287,0
158,0.21911678,0
159,0.20031339,0
160,0.19623265,0
161,0.2025613,0
162,0.20869027,0
163,0.21499789,0
164,0.21479371,0
165,0.21785697,0
166,0.2060139,0
167,0.2166705,0
168,0.21696967,0
169,0.22290868,0
170,0.21093374,0
171,0.20891747,0
172,0.21592152,0
173,0.20274524,0
174,0.21391416,0
175,0.21058619,0
176,0.21315752,0
177,0.21126235,0
178,0.22953963,0
179,0.21033952,0
180,0.21656822,0
181,0.20463637,0
182,0.22193483,0
183,0.20508525,0
184,0.20979413,0
185,0.21345222,0
186,0.21506552,0
187,0.20698468,0
188,0.20280759,0
189,0.22035508,0
190,0.2099139,0
191,0.21570417,0
192,0.19727564,0
193,0.20893256,0
194,0.20617895,0
195,0.20290795,0
196,0.20477556,0
197,0.21794264,0
198,0.20616882,0
199,0.19856748,0
200,0.19682048,0
201,0.21575318,0
202,0.22424911,0
203,0.20599732,0
204,0.20938104,0
205,0.205762,0
206,0.20601813,0
207,0.20785515,0
208,0.22093284,0
209,0.20254742,0
210,0.21367185,0
211,0.20260167,0
212,0.21378967,0
213,0.20590739,0
214,0.20764753,0
215,0.21134675,0
216,0.2035526,0
217,0.20467687,0
218,0.20398256,0
219,0.20110142,0
220,0.20593631,0
221,0.21810335,0
222,0.20189953,0
223,0.20348406,0
224,0.19804674,0
225,0.20059186,0
226,0.21288905,0
227,0.19878685,0
228,0.21196425,0
229,0.22302303,0
230,0.19677868,0
231,0.22549,0
232,0.2120164,0
233,0.21626505,0
234,0.2046963,0
235,0.21203433,0
236,0.20926134,0
237,0.21539108,0
238,0.21740294,0
239,0.21272731,0
240,0.1966093,0
241,0.20242566,0
242,0.21916895,0
243,0.18710601,0
244,0.21472237,0
245,0.19959208,0
246,0.21116099,0
247,0.21969454,0
248,0.211538,0
249,0.2153796,0
250,0.21704528,0
251,0.2151655,0
252,0.20939144,0
253,0.20509395,0
254,0.21419111,0
255,0.21389262,0
256,0.22526155,0
257,0.22120199,0
258,0.21211056,0
259,0.21158218,0
260,0.21719456,0
261,0.2047903,0
262,0.18125606,0
263,0.20379792,0
264,0.19957572,0
265,0.21257639,0
266,0.18125854,0
267,0.21420816,0
268,0.20904379,0
269,0.20318007,0
270,0.2095909,0
271,0.20472334,0
272,0.21227084,0
273,0.21472442,0
274,0.21850835,0
275,0.20107275,0
276,0.21186435,0
277,0.21507427,0
278,0.21907859,0
279,0.222756,0
280,0.22039382,0
281,0.21129291,0
282,0.20539002,0
283,0.21116166,0
284,0.19531566,0
285,0.20363998,0
286,0.2056377,0
287,0.21734111,0
288,0.21214478,0
289,0.18671688,0
290,0.21086544,0
291,0.20555691,0
292,0.20369506,0
293,0.20499294,0
294,0.19960892,0
295,0.20941254,0
296,0.20935416,0
297,0.21808445,0
298,0.21722655,0
299,0.21544525,0
300,0.21277969,0
301,0.21804361,0
302,0.20103762,0
303,0.21348326,0
304,0.19990449,0
305,0.22267334,0
306,0.1932238,0
307,0.20732713,0
308,0.20456994,0
309,0.18760113,0
310,0.20321207,0
311,0.20660695,0
312,0.18618153,0
313,0.21429583,0
314,0.2156573,0
315,0.19795054,0
316,0.20898959,0
317,0.21897998,0
318,0.21805432,0
319,0.20047353,0
320,0.21372426,0
321,0.20620847,0
322,0.20818269,0
323,0.21397999,0
324,0.20198616,0
325,0.21849279,0
326,0.2113775,0
327,0.21285152,0
328,0.18748096,0
329,0.21511453,0
330,0.17159534,0
331,0.20415267,0
332,0.19299655,0
333,0.19011828,0
334,0.21482798,0
335,0.21072781,0
336,0.18342201,0
337,0.2120556,0
338,0.21230845,0
339,0.20441198,0
340,0.20070764,0
341,0.21337485,0
342,0.20560718,0
343,0.20425597,0
344,0.2176371,0
345,0.2105915,0
346,0.21212462,0
347,0.20576113,0
348,0.2036995,0
349,0.21100959,0
350,0.20501117,0
351,0.20442939,0
352,0.21124426,0
353,0.20850599,0
354,0.21241337,0
355,0.20610683,0
356,0.21383852,0
